Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-speed,aqi_value,aqi_category
2019-12-30,3.0,93.0,148.0,67.0,162.0,1020.5,2.5,0.5,162.0,Unhealthy
2019-12-31,,,153.0,82.0,168.0,,,,168.0,Unhealthy
2020-01-01,,,158.0,82.0,179.0,,,,179.0,Unhealthy
2020-01-02,,,159.0,72.0,176.0,,,,176.0,Unhealthy
2020-01-03,7.0,93.0,157.0,62.0,171.0,1021.0,8.5,1.0,171.0,Unhealthy
2020-01-04,7.5,96.5,151.0,55.0,153.0,1018.0,8.0,0.9,153.0,Unhealthy
2020-01-05,5.0,81.0,91.0,44.0,103.0,1017.0,7.3,1.0,103.0,Unhealthy for Sensitive Groups
2020-01-06,4.0,90.0,120.0,58.0,134.0,1019.5,7.5,,134.0,Unhealthy for Sensitive Groups
2020-01-07,6.0,87.0,151.0,61.0,155.0,1019.0,10.0,,155.0,Unhealthy
2020-01-08,7.0,93.0,159.0,66.0,165.0,1019.0,8.5,,165.0,Unhealthy
2020-01-09,8.0,96.5,148.0,58.0,153.0,1019.0,8.5,,153.0,Unhealthy
2020-01-10,6.5,90.0,135.0,54.0,142.0,1019.0,8.0,,142.0,Unhealthy for Sensitive Groups
2020-01-11,6.0,87.0,135.0,58.0,152.0,1020.5,8.0,,152.0,Unhealthy
2020-01-12,6.0,87.0,130.0,49.0,169.0,1018.5,8.0,,169.0,Unhealthy
2020-01-13,6.0,87.0,142.0,62.0,159.0,1016.5,9.5,,159.0,Unhealthy
2020-01-14,6.5,78.5,142.0,67.0,156.0,1017.5,10.0,,156.0,Unhealthy
2020-01-15,6.5,76.0,132.0,57.0,154.0,1019.0,11.0,,154.0,Unhealthy
2020-01-16,7.5,93.0,151.0,59.0,158.0,1019.5,9.9,,158.0,Unhealthy
2020-01-17,9.0,100.0,99.0,40.0,117.0,1022.0,9.0,,117.0,Unhealthy for Sensitive Groups
2020-01-18,7.0,90.0,128.0,58.0,132.0,1021.0,8.2,,132.0,Unhealthy for Sensitive Groups
2020-01-19,4.0,72.5,119.0,60.0,146.0,1019.0,8.0,,146.0,Unhealthy for Sensitive Groups
2020-01-20,2.5,73.0,144.0,59.0,152.0,1018.5,7.5,,152.0,Unhealthy
2020-01-21,3.5,84.0,156.0,76.0,165.0,1021.0,7.0,,165.0,Unhealthy
2020-01-22,2.5,72.5,140.0,62.0,158.0,1020.5,8.0,,158.0,Unhealthy
2020-01-23,3.0,78.5,110.0,53.0,143.0,1016.0,9.0,,143.0,Unhealthy for Sensitive Groups
2020-01-24,4.5,78.0,127.0,55.0,144.0,1015.5,7.6,,144.0,Unhealthy for Sensitive Groups
