Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-gust,wind-speed
2022-12-26,5.0,73.5,130.0,51.0,143.0,1020.0,10.0,,0.7
2022-12-27,3.0,75.9,143.0,51.0,151.0,1017.0,8.6,,0.7
2022-12-28,3.0,79.6,133.0,52.0,149.0,1017.0,8.5,,1.0
2022-12-29,4.5,81.4,157.0,58.0,163.0,1020.0,8.3,,0.7
2022-12-30,5.0,81.9,158.0,58.0,163.0,1022.0,8.0,,0.6
2022-12-31,4.5,84.0,157.0,59.0,164.0,1020.5,8.5,,0.7
2023-01-01,6.0,84.0,,,164.0,1022.0,8.5,,1.0
2023-01-02,6.0,81.0,,46.0,163.0,1023.0,9.0,,1.2
2023-01-03,5.0,81.6,131.0,47.0,156.0,1023.0,8.1,,0.7
2023-01-04,4.5,77.0,109.0,37.0,155.0,1023.0,8.0,,0.8
2023-01-05,3.0,72.0,108.0,42.0,151.0,1024.0,8.0,,0.8
2023-01-06,2.0,68.0,151.0,66.0,157.0,1025.0,9.0,,0.7
2023-01-07,1.5,63.5,161.0,65.0,166.0,1023.0,9.0,,0.8
2023-01-08,1.0,56.8,130.0,53.0,158.0,1022.0,9.5,,0.9
2023-01-09,1.0,61.0,127.0,48.0,154.0,1023.0,9.2,,0.7
2023-01-10,3.0,68.5,134.0,58.0,157.0,1020.0,9.8,,0.7
2023-01-11,3.0,68.0,148.0,57.0,156.0,1018.0,9.4,,0.8
2023-01-12,4.0,71.3,146.0,53.0,152.0,1016.5,10.0,,0.9
2023-01-13,4.5,76.4,113.0,52.0,142.0,1016.5,9.5,,0.9
2023-01-14,3.0,70.0,118.0,53.0,142.0,1016.5,9.2,,0.7
2023-01-15,4.0,80.5,143.0,54.0,152.0,1015.0,8.5,,1.0
2023-01-16,5.0,84.0,155.0,60.0,157.0,1016.0,8.0,,0.9
2023-01-17,4.5,81.0,156.0,58.0,159.0,1017.0,8.0,,0.9
2023-01-18,3.5,78.0,152.0,58.0,157.0,1019.0,7.9,,0.9
2023-01-19,3.5,81.0,154.0,60.0,159.0,1020.5,7.4,,0.7
2023-01-20,4.5,79.3,158.0,63.0,170.0,1019.5,8.7,,0.8
2023-01-21,3.0,63.0,151.0,58.0,155.0,1019.0,9.0,,0.8
2023-01-22,0.5,55.0,122.0,59.0,152.0,1019.0,9.4,,0.7
2023-01-23,1.0,59.0,126.0,55.0,153.0,1019.0,10.2,1.5,1.0
2023-01-24,3.0,66.1,109.0,45.0,151.0,1019.5,11.5,2.7,1.0
2023-01-25,6.5,70.4,133.0,54.0,157.0,1019.5,12.5,3.5,0.7
2023-01-26,6.5,70.0,147.0,54.0,153.0,1017.7,13.1,3.5,0.6
2023-01-27,4.5,58.9,116.0,54.0,147.0,1017.3,12.3,3.2,0.6
2023-01-28,2.5,64.5,107.0,46.0,144.0,1015.9,10.5,3.0,0.5
2023-01-29,5.0,69.2,113.0,54.0,149.0,1018.0,12.3,3.2,0.7
2023-01-30,7.0,71.2,154.0,65.0,169.0,1020.3,13.3,2.5,0.5
2023-01-31,5.5,60.9,158.0,83.0,167.0,1017.4,13.3,2.7,0.6
2023-02-01,4.5,60.4,121.0,62.0,150.0,1016.2,13.3,3.2,0.6
2023-02-02,4.5,68.2,115.0,58.0,155.0,1017.0,12.4,3.2,0.7
2023-02-03,6.0,73.5,150.0,61.0,154.0,1017.3,12.2,3.2,0.6
2023-02-04,6.0,72.5,155.0,62.0,157.0,1014.6,12.5,3.2,0.7
2023-02-05,6.5,71.2,153.0,64.0,157.0,1014.3,12.1,3.2,0.7
2023-02-06,7.0,77.1,155.0,65.0,159.0,1014.0,12.3,4.0,0.7
2023-02-07,5.0,64.0,151.0,61.0,155.0,1012.4,11.7,3.2,0.6
2023-02-08,6.0,68.5,129.0,68.0,152.0,1014.5,11.5,4.2,1.0
